frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,740,448,741,612,48.42,0.349,0,,,0,164.00,0.53,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
17,0.28362,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
18,0.3003,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
19,0.31698,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
20,0.33367,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
21,0.35035,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
22,0.36703,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
23,0.38372,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
24,0.4004,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
25,0.41708,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
26,0.43377,holding,,,,,,,1,,,0,,,100,0,0,0,,0,0,0,0,0
27,0.45045,free_swing,740,447,735,611,48.662,-1.746,0,-3.62,2.05,0,164.08,0.58,2500,0,0,0,2.2907,0,0,0,0,0
28,0.46713,free_swing,740,447,735,611,48.662,-1.746,0,2.27,-2.49,0,164.08,0.58,2500,0,0,0,2.2904,0,0,0,0,0
29,0.48382,free_swing,740,447,735,611,48.662,-1.746,0,2.77,-2.21,0,164.08,0.58,2500,0,0,0,2.2905,0,0,0,0,0
30,0.5005,free_swing,740,447,735,610,48.662,-1.757,0,-2.12,2.88,0,163.08,0.04,2500,0,0,0,2.2901,0,0,0,0,0
31,0.51718,free_swing,740,447,735,611,48.662,-1.746,0,-12.40,12.79,0,164.08,0.58,2500,0,0,0,2.2940,0,0,0,0,0
32,0.53387,free_swing,739,448,735,612,48.205,-1.397,0,-28.08,27.52,0,164.05,0.56,2500,0,0,0,2.2771,0,0,0,0,0
33,0.55055,free_swing,738,449,736,613,47.748,-0.699,0,-50.78,47.24,0,164.01,0.54,2500,0,0,0,2.2996,0,0,0,0,0
34,0.56723,free_swing,736,452,737,616,46.597,0.349,0,-78.24,71.12,0,164.00,0.53,2500,0,0,0,2.3169,0,0,0,0,0
35,0.58392,free_swing,733,456,738,620,45.0,1.746,0,-109.13,100.83,0,164.08,0.58,2500,0,0,0,2.3604,0,0,0,0,0
36,0.6006,free_swing,729,461,739,625,42.963,3.489,0,-142.05,137.37,0,164.30,0.72,2500,0,0,0,2.4279,0,0,0,0,0
37,0.61728,free_swing,723,467,741,631,40.255,6.263,0,-174.68,177.34,0,164.98,1.13,2500,0,0,0,2.5038,0,0,0,0,0
38,0.63397,free_swing,716,474,743,636,37.124,9.462,0,-208.94,225.09,0,164.23,0.67,2500,0,0,0,2.6046,0,0,0,0,0
39,0.65065,free_swing,707,482,746,642,33.341,13.699,0,-244.22,276.81,0,164.68,0.95,2500,0,0,0,2.7392,0,0,0,0,0
40,0.66733,free_swing,696,490,748,645,29.085,18.546,0,-272.16,315.56,0,163.49,0.22,2500,0,0,0,2.8535,0,0,0,0,0
41,0.68402,free_swing,683,497,749,647,24.47,23.749,0,-292.99,333.73,0,163.88,0.46,2500,0,0,0,2.9765,0,0,0,0,0
