stem,x_param,theta1_deg,omega1_deg_s
3V_1Hz,3.0000,-19.3136,312.7010
3V_1Hz,3.0000,-19.4057,354.0415
3V_1Hz,3.0000,-16.7492,464.1112
3V_1Hz,3.0000,2.6262,415.0573
3V_1Hz,3.0000,-12.7251,515.0242
3V_1Hz,3.0000,-2.1142,420.1132
3V_1Hz,3.0000,13.6543,439.7955
3V_1Hz,3.0000,14.1848,383.5700
3V_1Hz,3.0000,13.7981,389.8926
3V_1Hz,3.0000,7.0300,377.9171
3V_1Hz,3.0000,12.1309,359.8816
3V_1Hz,3.0000,12.9882,358.5317
3V_1Hz,3.0000,12.6322,358.2570
3V_1Hz,3.0000,9.4257,355.5324
3V_1Hz,3.0000,7.9394,363.0600
3.2V_0.96Hz,3.2000,56.4969,408.5949
3.2V_0.96Hz,3.2000,21.7250,268.9171
3.2V_0.96Hz,3.2000,63.4382,474.0218
3.2V_0.96Hz,3.2000,41.4278,18.0259
3.2V_0.96Hz,3.2000,35.6037,532.4742
3.2V_0.96Hz,3.2000,24.6548,93.8033
3.2V_0.96Hz,3.2000,55.5779,255.2266
3.2V_0.96Hz,3.2000,23.0450,182.9917
3.2V_0.96Hz,3.2000,61.2153,284.8141
3.2V_0.96Hz,3.2000,34.4767,561.6793
3.2V_0.96Hz,3.2000,23.0515,118.9001
3.2V_0.96Hz,3.2000,54.3767,283.3823
3.2V_0.96Hz,3.2000,23.4612,212.9518
3.2V_0.96Hz,3.2000,37.2342,0.1597
3.2V_0.96Hz,3.2000,32.1227,481.2489
3.2V_0.96Hz,3.2000,17.9673,182.0642
3.2V_0.96Hz,3.2000,58.0923,454.5403
3.2V_0.96Hz,3.2000,75.7991,275.2834
3.2V_0.96Hz,3.2000,62.8987,138.9460
3.2V_0.96Hz,3.2000,81.0134,132.0504
3.2V_0.96Hz,3.2000,27.5540,399.1223
3.2V_0.96Hz,3.2000,24.5887,80.5219
3.2V_0.96Hz,3.2000,56.8805,394.2208
3.2V_0.96Hz,3.2000,24.4191,79.7528
3.2V_0.96Hz,3.2000,31.3189,32.0383
3.2V_0.96Hz,3.2000,29.6216,584.8487
3.2V_0.96Hz,3.2000,21.6874,81.9646
3.2V_0.96Hz,3.2000,55.8624,459.1961
3.2V_0.96Hz,3.2000,22.5097,80.2313
3.2V_0.96Hz,3.2000,24.3483,101.8824
3.2V_0.96Hz,3.2000,58.8073,162.9833
3.2V_0.96Hz,3.2000,38.1677,537.2696
3.2V_0.96Hz,3.2000,22.9101,101.5332
3.2V_0.96Hz,3.2000,59.2778,291.6245
3.2V_0.96Hz,3.2000,25.6335,57.9987
3.2V_0.96Hz,3.2000,34.1301,16.6660
3.2V_0.96Hz,3.2000,83.0654,303.3200
3.2V_0.96Hz,3.2000,31.9557,399.0146
3.2V_0.96Hz,3.2000,25.7386,166.8237
3.2V_0.96Hz,3.2000,66.6582,279.2230
3.2V_0.96Hz,3.2000,36.2453,577.6684
3.2V_0.96Hz,3.2000,22.8724,128.0127
3.2V_0.96Hz,3.2000,56.2333,379.5302
3.2V_0.96Hz,3.2000,24.4382,98.7562
3.2V_0.96Hz,3.2000,37.0874,17.7513
3.2V_0.96Hz,3.2000,37.6640,543.1060
3.2V_0.96Hz,3.2000,24.5994,101.8573
3.2V_0.96Hz,3.2000,58.5560,224.6754
3.2V_0.96Hz,3.2000,23.2556,155.1325
3.2V_0.96Hz,3.2000,60.3029,184.9450
3.2V_0.96Hz,3.2000,31.0655,562.5744
3.2V_0.96Hz,3.2000,24.5849,120.2444
3.2V_0.96Hz,3.2000,58.5510,296.3966
3.2V_0.96Hz,3.2000,31.4463,-8.6400
3.2V_0.96Hz,3.2000,58.9054,234.1565
3.2V_0.96Hz,3.2000,20.0374,139.8117
3.2V_0.96Hz,3.2000,32.8603,17.9716
3.2V_0.96Hz,3.2000,23.4436,428.1778
3.2V_0.96Hz,3.2000,21.9719,37.8997
3.2V_0.97Hz,3.2000,22.8170,5.7962
3.2V_0.97Hz,3.2000,7.4035,70.3956
3.2V_0.97Hz,3.2000,20.2311,167.1512
3.2V_0.97Hz,3.2000,25.9564,606.5653
3.2V_0.97Hz,3.2000,17.5435,80.0117
3.2V_0.97Hz,3.2000,14.2803,217.4093
3.2V_0.97Hz,3.2000,20.1989,523.6869
3.2V_0.97Hz,3.2000,19.9101,94.6090
3.2V_0.97Hz,3.2000,26.3278,149.2913
3.2V_0.97Hz,3.2000,29.0299,-98.5305
3.2V_0.97Hz,3.2000,10.7782,198.8710
3.2V_0.97Hz,3.2000,21.4553,201.4427
3.2V_0.97Hz,3.2000,63.8994,416.9315
3.2V_0.97Hz,3.2000,22.0016,127.0948
3.2V_0.97Hz,3.2000,42.6442,380.7775
3.2V_0.97Hz,3.2000,15.2159,92.3220
3.2V_0.97Hz,3.2000,20.5025,290.5236
3.2V_0.97Hz,3.2000,58.5860,309.2704
3.2V_0.97Hz,3.2000,14.9870,53.3681
3.2V_0.97Hz,3.2000,27.9777,132.7167
3.2V_0.97Hz,3.2000,37.7015,440.8847
3.2V_0.97Hz,3.2000,19.8572,69.1566
3.2V_0.97Hz,3.2000,28.6075,341.9822
3.2V_0.97Hz,3.2000,5.7493,548.7615
3.2V_0.97Hz,3.2000,3.2387,168.0323
3.2V_0.97Hz,3.2000,31.8459,476.3400
3.2V_0.97Hz,3.2000,10.7857,176.5145
3.2V_0.97Hz,3.2000,34.8868,493.0055
3.2V_0.97Hz,3.2000,61.3629,384.6014
3.2V_0.97Hz,3.2000,13.3178,478.4202
3.2V_0.97Hz,3.2000,26.2154,279.4145
3.2V_0.97Hz,3.2000,4.5137,469.3961
3.2V_0.97Hz,3.2000,18.5770,158.7898
3.2V_0.97Hz,3.2000,29.2867,523.1058
3.2V_0.97Hz,3.2000,22.5276,54.1610
3.2V_0.97Hz,3.2000,23.2993,147.6169
3.2V_0.97Hz,3.2000,43.9012,411.5745
3.2V_0.97Hz,3.2000,17.5667,92.4010
3.2V_0.97Hz,3.2000,35.2528,293.6058
3.2V_0.97Hz,3.2000,15.0182,550.5971
3.2V_0.97Hz,3.2000,24.4279,228.5503
3.2V_0.97Hz,3.2000,15.7363,-221.4409
3.2V_0.97Hz,3.2000,14.2327,239.6459
3.2V_0.97Hz,3.2000,38.0002,303.0343
3.2V_0.97Hz,3.2000,11.3836,573.7259
3.2V_0.97Hz,3.2000,18.0546,194.1112
3.2V_0.97Hz,3.2000,41.8524,449.1579
3.2V_0.97Hz,3.2000,17.3434,117.8687
3.2V_0.97Hz,3.2000,33.7284,490.4547
3.2V_0.97Hz,3.2000,40.8084,428.6223
3.2V_0.97Hz,3.2000,-1.9006,598.8310
3.2V_0.97Hz,3.2000,17.3426,243.0913
3.2V_0.97Hz,3.2000,40.9418,348.5404
3.2V_0.97Hz,3.2000,19.7134,250.4796
3.2V_0.97Hz,3.2000,46.9048,657.8016
3.2V_0.97Hz,3.2000,27.2853,181.3212
3.2V_0.97Hz,3.2000,39.4273,320.5879
3.2V_0.97Hz,3.2000,16.3532,155.1783
3.2V_0.97Hz,3.2000,40.0853,447.9561
3.2V_0.97Hz,3.2000,21.0114,608.0537
3.2V_0.97Hz,3.2000,12.7094,201.3355
3.2V_0.97Hz,3.2000,20.6998,446.8860
3.2V_0.97Hz,3.2000,17.2720,196.8079
3.2V_0.97Hz,3.2000,26.9833,118.9320
3.2V_0.97Hz,3.2000,56.0363,216.0826
3.2V_0.97Hz,3.2000,58.3727,239.3398
