frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,free_swing,659,485,657,632,-1.498,-0.779,0
1,0.01668,free_swing,659,485,657,632,-1.498,-0.779,0
2,0.03337,free_swing,659,485,657,632,-1.498,-0.779,0
3,0.05005,free_swing,659,485,657,632,-1.498,-0.779,0
4,0.06673,free_swing,659,485,657,632,-1.498,-0.779,0
5,0.08342,free_swing,659,485,657,632,-1.498,-0.779,0
6,0.1001,free_swing,659,485,657,632,-1.498,-0.779,0
7,0.11678,free_swing,659,485,657,632,-1.498,-0.779,0
8,0.13347,free_swing,659,485,657,632,-1.498,-0.779,0
9,0.15015,free_swing,659,485,657,632,-1.498,-0.779,0
10,0.16683,free_swing,659,485,657,632,-1.498,-0.779,0
11,0.18352,free_swing,659,485,657,632,-1.498,-0.779,0
12,0.2002,free_swing,659,485,657,632,-1.498,-0.779,0
13,0.21688,free_swing,659,485,657,632,-1.498,-0.779,0
14,0.23357,free_swing,659,485,657,632,-1.498,-0.779,0
15,0.25025,free_swing,659,485,657,632,-1.498,-0.779,0
16,0.26693,free_swing,659,485,657,632,-1.498,-0.779,0
17,0.28362,free_swing,659,485,657,632,-1.498,-0.779,0
18,0.3003,free_swing,659,485,657,632,-1.498,-0.779,0
19,0.31698,free_swing,659,484,657,631,-1.507,-0.779,0
20,0.33367,free_swing,659,485,657,629,-1.498,-0.796,0
21,0.35035,free_swing,659,485,657,629,-1.498,-0.796,0
22,0.36703,free_swing,659,485,657,632,-1.498,-0.779,0
23,0.38372,free_swing,659,485,657,632,-1.498,-0.779,0
24,0.4004,free_swing,659,485,657,628,-1.498,-0.801,0
25,0.41708,free_swing,659,485,657,632,-1.498,-0.779,0
26,0.43377,free_swing,659,485,657,632,-1.498,-0.779,0
27,0.45045,free_swing,659,485,657,632,-1.498,-0.779,0
28,0.46713,free_swing,659,484,657,632,-1.507,-0.774,0
29,0.48382,free_swing,659,484,657,633,-1.507,-0.769,0
30,0.5005,free_swing,659,484,658,632,-1.507,-0.387,0
31,0.51718,free_swing,659,485,658,628,-1.498,-0.401,0
32,0.53387,free_swing,659,485,658,631,-1.498,-0.392,0
33,0.55055,free_swing,659,485,657,632,-1.498,-0.779,0
34,0.56723,free_swing,658,485,657,632,-1.872,-0.39,0
35,0.58392,free_swing,659,485,658,628,-1.498,-0.401,0
36,0.6006,free_swing,659,485,658,630,-1.498,-0.395,0
37,0.61728,free_swing,659,485,657,632,-1.498,-0.779,0
38,0.63397,free_swing,659,485,657,632,-1.498,-0.779,0
39,0.65065,free_swing,659,485,657,632,-1.498,-0.779,0
40,0.66733,free_swing,659,485,658,627,-1.498,-0.403,0
41,0.68402,free_swing,659,485,658,629,-1.498,-0.398,0
42,0.7007,free_swing,659,485,657,630,-1.498,-0.79,0
43,0.71738,free_swing,659,485,658,631,-1.498,-0.392,0
44,0.73407,free_swing,659,485,657,629,-1.498,-0.796,0
45,0.75075,free_swing,659,484,657,632,-1.507,-0.774,0
46,0.76743,free_swing,659,485,658,630,-1.498,-0.395,0
47,0.78412,free_swing,659,485,657,632,-1.498,-0.779,0
48,0.8008,free_swing,659,484,657,632,-1.507,-0.774,0
49,0.81748,free_swing,659,484,657,632,-1.507,-0.774,0
50,0.83417,free_swing,659,485,657,632,-1.498,-0.779,0
51,0.85085,free_swing,659,484,657,632,-1.507,-0.774,0
52,0.86753,free_swing,659,484,657,632,-1.507,-0.774,0
53,0.88422,free_swing,659,485,657,632,-1.498,-0.779,0
54,0.9009,free_swing,659,485,657,632,-1.498,-0.779,0
55,0.91758,free_swing,659,484,657,632,-1.507,-0.774,0
56,0.93427,free_swing,659,484,657,632,-1.507,-0.774,0
57,0.95095,free_swing,659,485,657,632,-1.498,-0.779,0
58,0.96763,free_swing,659,484,658,630,-1.507,-0.392,0
59,0.98432,free_swing,659,485,658,631,-1.498,-0.392,0
60,1.001,free_swing,659,485,657,632,-1.498,-0.779,0
61,1.01768,free_swing,659,485,657,632,-1.498,-0.779,0
62,1.03437,free_swing,659,485,657,632,-1.498,-0.779,0
63,1.05105,free_swing,659,485,657,632,-1.498,-0.779,0
64,1.06773,free_swing,659,485,657,632,-1.498,-0.779,0
65,1.08442,free_swing,659,485,657,632,-1.498,-0.779,0
66,1.1011,free_swing,659,485,658,631,-1.498,-0.392,0
67,1.11778,free_swing,659,485,657,632,-1.498,-0.779,0
68,1.13447,free_swing,659,485,657,632,-1.498,-0.779,0
69,1.15115,free_swing,659,485,658,631,-1.498,-0.392,0
70,1.16783,free_swing,659,485,657,632,-1.498,-0.779,0
71,1.18452,free_swing,659,485,657,632,-1.498,-0.779,0
72,1.2012,free_swing,659,485,657,632,-1.498,-0.779,0
73,1.21788,free_swing,659,485,657,632,-1.498,-0.779,0
