frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,0.00,-1.59
1,0.01668,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,0.00,-0.04
2,0.03337,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,-0.00,0.64
3,0.05005,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,-0.00,0.46
4,0.06673,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,-0.00,-0.93
5,0.08342,driven,663.052,485.000,662.044,637.997,0.020,-0.377,0,-0.00,-2.13
6,0.1001,driven,663.052,485.000,661.814,637.995,0.020,-0.464,0,-0.43,-1.69
7,0.11678,driven,663.052,485.000,661.814,637.995,0.020,-0.464,0,0.88,-1.83
8,0.13347,driven,663.052,485.000,661.814,637.995,0.020,-0.464,0,2.01,-1.60
9,0.15015,driven,663.272,485.000,661.809,637.993,0.102,-0.548,0,2.12,-2.57
10,0.16683,driven,663.272,485.000,661.809,637.993,0.102,-0.548,0,0.73,0.05
11,0.18352,driven,663.272,485.000,661.809,637.993,0.102,-0.548,0,-1.06,2.76
12,0.2002,driven,663.213,485.000,662.008,637.995,0.080,-0.451,0,-1.15,3.28
13,0.21688,driven,663.169,485.000,662.010,637.996,0.063,-0.434,0,-1.09,2.45
14,0.23357,driven,663.121,485.000,662.082,637.996,0.045,-0.389,0,-0.51,0.89
15,0.25025,driven,663.121,485.000,662.082,637.996,0.045,-0.389,0,-0.10,1.08
16,0.26693,driven,663.121,485.000,662.135,637.997,0.045,-0.369,0,0.09,0.79
17,0.28362,driven,663.121,485.000,662.190,637.997,0.045,-0.349,0,0.24,0.57
18,0.3003,driven,663.121,485.000,662.199,637.997,0.045,-0.345,0,-0.72,0.92
19,0.31698,driven,663.121,485.000,662.199,637.997,0.045,-0.345,0,-0.62,0.56
20,0.33367,driven,663.000,485.000,662.199,637.998,0.000,-0.300,0,-0.05,0.51
21,0.35035,driven,663.121,485.000,662.199,637.997,0.045,-0.345,0,0.70,-2.39
22,0.36703,driven,663.121,485.000,662.199,637.997,0.045,-0.345,0,0.97,-1.78
23,0.38372,driven,663.145,485.000,661.954,637.995,0.054,-0.446,0,0.06,0.61
24,0.4004,driven,663.152,485.000,662.314,637.998,0.057,-0.314,0,0.17,2.95
25,0.41708,driven,663.152,485.000,662.314,637.998,0.057,-0.314,0,-0.01,3.76
26,0.43377,driven,663.152,485.000,662.510,637.999,0.057,-0.240,0,-0.19,1.59
27,0.45045,driven,663.152,485.000,662.510,637.999,0.057,-0.240,0,0.36,0.21
28,0.46713,driven,663.152,485.000,662.510,637.999,0.057,-0.240,0,0.83,-3.18
29,0.48382,driven,663.244,485.000,662.365,637.997,0.091,-0.329,0,0.97,-4.06
30,0.5005,driven,663.244,485.000,662.175,637.996,0.091,-0.400,0,0.09,-3.62
31,0.51718,driven,663.244,485.000,662.102,637.996,0.091,-0.428,0,-0.79,-1.90
32,0.53387,driven,663.173,485.000,661.949,637.995,0.065,-0.458,0,-0.68,-1.03
33,0.55055,driven,663.173,485.000,661.906,637.995,0.065,-0.474,0,-0.38,-0.52
34,0.56723,driven,663.163,485.000,661.903,637.995,0.061,-0.472,0,0.15,-0.26
35,0.58392,driven,663.163,485.000,661.903,637.995,0.061,-0.472,0,-0.10,0.49
36,0.6006,driven,663.163,485.000,661.906,637.995,0.061,-0.471,0,-0.84,1.62
37,0.61728,driven,663.106,485.000,662.004,637.996,0.040,-0.413,0,-1.06,2.13
38,0.63397,driven,663.022,485.000,662.050,637.997,0.008,-0.364,0,2.11,1.57
39,0.65065,driven,663.022,485.000,662.223,637.998,0.008,-0.299,0,0.86,1.42
40,0.66733,driven,662.899,485.000,662.712,638.000,-0.038,-0.070,0,-27.10,42.28
41,0.68402,driven,661.055,484.988,663.054,637.975,-0.728,0.749,0,-69.03,100.84
42,0.7007,driven,656.158,484.847,665.688,637.550,-2.563,3.571,0,-114.76,161.61
43,0.71738,driven,650.857,484.517,667.528,636.606,-4.552,6.256,0,-149.64,206.43
44,0.73407,driven,643.434,483.744,669.820,634.451,-7.347,9.931,0,-172.66,217.01
45,0.75075,driven,635.366,482.484,671.862,631.067,-10.406,13.800,0,-192.98,223.69
46,0.76743,driven,627.197,480.752,671.933,627.065,-13.533,17.002,0,-191.47,198.65
47,0.78412,driven,619.336,478.637,671.863,622.338,-16.582,20.079,0,-142.56,120.11
48,0.8008,driven,614.102,476.976,670.356,619.259,-18.638,21.572,0,-67.70,20.58
49,0.81748,driven,614.102,476.976,667.203,620.466,-18.638,20.308,0,-19.56,-66.06
50,0.83417,driven,614.102,476.976,663.536,621.770,-18.638,18.850,0,31.08,-153.18
51,0.85085,driven,614.609,477.146,657.038,624.145,-18.438,16.100,0,93.11,-246.60
52,0.86753,driven,622.244,479.472,649.679,629.992,-15.449,10.330,0,174.32,-360.49
53,0.88422,driven,630.457,481.499,641.169,634.124,-12.281,4.015,0,209.85,-417.08
54,0.9009,driven,639.961,483.255,630.906,635.987,-8.661,-3.393,0,215.48,-439.84
55,0.91758,driven,648.796,484.339,621.133,634.818,-5.327,-10.416,0,232.90,-454.98
56,0.93427,driven,660.578,484.981,612.300,630.164,-0.907,-18.394,0,243.50,-445.63
57,0.95095,driven,671.043,484.788,605.450,623.015,3.013,-25.386,0,248.31,-406.67
58,0.96763,driven,681.840,483.836,601.152,613.830,7.073,-31.828,0,238.60,-346.04
59,0.98432,driven,692.456,482.138,600.578,604.479,11.100,-36.906,0,238.37,-308.82
60,1.001,driven,702.503,479.812,600.552,593.896,14.963,-41.785,0,228.71,-259.57
61,1.01768,driven,712.150,476.891,602.261,583.349,18.738,-45.909,0,217.08,-191.81
62,1.03437,driven,720.911,473.617,606.954,575.709,22.241,-48.143,0,207.50,-106.40
63,1.05105,driven,729.218,469.928,613.373,569.873,25.645,-49.214,0,207.78,-35.21
64,1.06773,driven,737.362,465.713,621.150,565.231,29.080,-49.425,0,205.38,23.42
65,1.08442,driven,745.557,460.815,630.864,562.079,32.656,-48.558,0,200.88,84.95
66,1.1011,driven,752.238,456.280,641.247,561.589,35.680,-46.505,0,188.91,147.59
67,1.11778,driven,759.100,451.054,653.460,561.730,38.910,-43.666,0,175.28,201.18
68,1.13447,driven,764.696,446.311,666.800,563.892,41.658,-39.780,0,167.82,259.43
69,1.15115,driven,769.944,441.417,681.874,566.527,44.345,-35.143,0,156.37,314.19
70,1.16783,driven,774.804,436.446,699.980,569.901,46.949,-29.278,0,147.02,355.75
71,1.18452,driven,778.890,431.892,718.639,572.529,49.240,-23.191,0,128.36,391.39
72,1.2012,driven,782.261,427.843,738.828,574.548,51.213,-16.492,0,107.73,414.81
73,1.21788,driven,784.909,424.451,760.436,575.481,52.825,-9.204,0,94.10,435.65
74,1.23457,driven,787.094,421.497,782.140,574.416,54.201,-1.856,0,67.55,467.33
75,1.25125,driven,788.786,419.103,804.749,571.268,55.299,5.989,0,39.92,489.35
